"play_uuid","game_id","hit_player","hit"
"1af372e0-c5bb-48a5-a88b-36b8f28e9316",1502117,"Odafe Oweh",1
"a5305e71-251b-407b-92c0-06a0738538d9",1502117,"Sam Hubbard",1
"858a48c1-f8d1-4267-9677-a04196068d44",1502117,"Sam Hubbard",1
"a82b40c8-5921-4a84-9503-5549d4d6b5be",1502117,"Cam Sample",1
"8b147db1-485e-4cd5-a43f-54fab92b7272",1502119,"J.J. Watt",1
"0d25754c-aee5-49ff-a5d5-03b9af54c35a",1502119,"Charles Omenihu",1
"0d25754c-aee5-49ff-a5d5-03b9af54c35a",1502119,"Jacob Martin",1
"abbb1c4e-c936-4f96-b7bd-bd7a9feee799",1502119,"Michael Dogbe",1
"36f0e792-057d-4948-b8d9-1a842bd97dc4",1502120,"Khalil Mack",1
"4caf9190-4314-485c-b823-2cf36461c0e7",1502121,"Dee Ford",1
"d68dab30-167e-4802-84ab-b01afec47b88",1502122,"Jamal Adams",1
"13809667-a0b8-4f8e-9ae4-7519df635aa9",1502124,"Denico Autry",1
"3135b59d-ab64-467f-8a47-07bfec1a0f7e",1502124,"Ola Adeniyi",1
"0533e0c5-b577-4c59-92ac-38e8d5090737",1502124,"Jeffery Simmons",1
"0533e0c5-b577-4c59-92ac-38e8d5090737",1502124,"David Long, Jr.",1
"4b26f94e-9111-419a-ba9b-e3d808baa777",1502125,"Donte Deayon",1
"b4f7e276-d0c9-4eff-b5dc-720ee83c1538",1502126,"T.J. Watt",1
"e200e548-0e5c-42a2-ac2e-14dc8fe2581f",1502126,"Myles Garrett",1
"0d7d8b3b-1f7c-4069-855c-aa41362cd2f9",1502127,"Alim Mcneill",1
"a7350283-b044-42b0-96ba-5fd87db7c85f",1502127,"Javon Hargrave",1
"faae7458-2b82-490e-9f23-b686af510e02",1502129,"Brandon Copeland",1
"3bf231bb-2ddb-4a26-aac4-48b558f8630b",1502129,"Grady Jarrett",1
"795c3d27-6323-443d-b4cd-ea0c74521583",1502130,"Jerry Hughes",1
"a3f22701-66fb-4c0b-aa09-241fcfcc4e2a",1502130,"Duke Riley",1
"5dec039f-90f5-4a4b-b520-bfef591e948c",1502130,"Andrew Van Ginkel",1
"522e3c7b-6900-45f0-b4bb-6cd42131eb33",1502130,"Mario Addison",1
"bb44fa75-399e-429f-950c-0102a314e072",1502131,"Darrell Taylor",1
"af9402a3-be52-4d3e-95f3-39c476baa64c",1502131,"Adam Gotsis",1
"ce671baf-ff87-4a8b-8fec-b53b6292dc0f",1502131,"Ryan Neal",1
"7673231c-f37c-4e72-b616-7a224ae63105",1502131,"Josh Allen",1
"73ac2391-83f7-47b9-9c93-0af103bfe9fd",1502131,"Darrell Taylor",1
"d130fd06-9a68-4caf-87ac-36032bed93c1",1502131,"Robert Nkemdiche",1
"b272adb0-bc1a-4356-8fea-c4904b91a112",1502132,"Montez Sweat",1
"b494b5d4-5780-4cc2-942c-cb73467cc284",1502134,"Randy Gregory",1
"be1663c3-a05f-4007-9a74-566c03fa7082",1502134,"Tarell Basham",1
"0da7fe5c-497f-4e05-81f6-cd21af0b4f6e",1502134,"Randy Gregory",1
"367f16c7-d638-4a64-baa5-81deaac5e08b",1502134,"Tarell Basham",1
"367f16c7-d638-4a64-baa5-81deaac5e08b",1502134,"Randy Gregory",1
"f7fb935f-8e53-406c-8130-3a7d96311d61",1502135,"Leonard Williams",1
"30f71e29-0b22-469a-ad8c-62b1f380d87f",1502136,"Folorunso Fatukasi",1
"457e6162-067c-4a59-93e9-6b22881123e5",1502136,"Isaac Rochell",1
"6bedfaac-c188-4df4-ad24-6a22dfe6e4db",1502136,"Kwity Paye",1
"af70f54d-9bd9-4f50-8632-dd2dfde40fe5",1502136,"Kwity Paye",1
"6345cdac-3523-47fb-a4de-d9ea26b474c3",1502137,"Christian Ringo",1
"f9108fc3-0ea3-4d20-a521-798115396dee",1502137,"Marcus Davenport",1
"ca473953-9435-45d3-896e-22e87930505f",1502137,"David Onyemata",1
"ca473953-9435-45d3-896e-22e87930505f",1502137,"Payton Turner",1
"9363c863-dd97-4e65-aa8b-4f0f6b4e51b5",1502138,"Jonathon Cooper",1
"f644fb9b-81d5-4e2d-9e85-327fdbd31d00",1502138,"Stephen Weatherly",1
"21b00152-d079-4d4f-a77a-88cb58782cf2",1502140,"Anthony Walker Jr.",1
"9ab5101f-21da-4069-8c66-b6af6bebf0ea",1502140,"Myles Garrett",1
"7d3b5bf5-dbc3-42cb-bcca-42eb09daf929",1502142,"Roy Robertson-Harris",1
"0bab438f-b556-43fc-9de4-68fab954fccc",1502142,"Taven Bryan",1
"962bfb35-e3ee-4bcc-8b2b-908f641a0093",1502142,"Jihad Ward",1
"f8b0ce91-b5ea-48ab-ab13-8c1363756034",1502142,"Adam Gotsis",1
"69464128-1160-440b-9b97-443b7a424cb8",1502142,"Josh Allen",1
"82dd58ff-fe44-4eb9-b79d-f2e1bc639897",1502142,"Myles Jack",1
"f0322789-10a1-4615-b195-eaf4e37573a4",1502142,"Tremaine Edmunds",1
"a9811a05-01ef-4734-9c93-7b7e84ee05d9",1502142,"Jerry Hughes",1
"99c15484-ca95-4863-aa46-03126a5f1e45",1502143,"Jonathan Greenard",1
"c574d350-c67d-40e2-a0ff-5efde09d2647",1502143,"Jaleel Johnson",1
"c574d350-c67d-40e2-a0ff-5efde09d2647",1502143,"Jordan Jenkins",1
"f2f4ca08-5856-4fd1-b7f4-47fd698b4179",1502143,"Jacob Martin",1
"fa4714db-efaa-4e79-9d99-c7bb249190f4",1502143,"Jevon Holland",1
"d6570c04-c3e2-4b33-8b44-bb91896f3c01",1502143,"Jacob Martin",1
"21d1ac17-f664-407c-baf9-55901b8a3eb6",1502143,"Zach Cunningham",1
"53fae463-a141-408b-928c-9c864f50dde5",1502143,"Xavien Howard",1
"2b4abcdf-8c9c-4185-8b00-9ed2cf218479",1502143,"Emmanuel Ogbah",1
"7da43b21-7367-4c2a-b6b8-5245dc7bf085",1502144,"Marlon Humphrey",1
"5b02a712-b483-4018-b1a8-ff70cfcd31d1",1502144,"Justin Houston",1
"5b02a712-b483-4018-b1a8-ff70cfcd31d1",1502144,"Odafe Oweh",1
"40c9ad3e-a671-40eb-929c-cc15b1060a50",1502144,"Jevon Holland",1
"d8c02ac3-9dc7-4218-a051-8d6a971b2e1c",1502144,"Josh Bynes",1
"0d039966-72c5-4b87-8dd5-f3c0644666d2",1502147,"Jadeveon Clowney",1
"1545ea62-39f6-4e7e-9cf3-2467a29449b3",1502147,"Jadeveon Clowney",1
"1545ea62-39f6-4e7e-9cf3-2467a29449b3",1502147,"Malik Mcdowell",1
"1545ea62-39f6-4e7e-9cf3-2467a29449b3",1502147,"Myles Garrett",1
"3a1ecd81-2c06-4e60-bf75-594c7e6f5195",1502147,"Justin Houston",1
"46eeccb5-c2ae-4cf7-9bcb-a08c5ef6c011",1502156,"David Long, Jr.",1
"cc972fda-c952-4ff9-b43f-26f2b07e8b1a",1502157,"Derrick Nnadi",1
"cc972fda-c952-4ff9-b43f-26f2b07e8b1a",1502157,"Frank Clark",1
"c3528fc5-b285-403c-b53f-a6de43871c3f",1502158,"Chandler Jones",1
"2ff6a20b-6ad6-4b30-83c7-d88b599ab10f",1502159,"Roy Robertson-Harris",1
"2ff6a20b-6ad6-4b30-83c7-d88b599ab10f",1502159,"Josh Allen",1
"033bdc69-9bc2-4f82-99ae-f55c04ebe5f8",1502159,"Al-Quadin Muhammad",1
"ad9b3c67-5b7f-479a-ae13-d53e13ff79cf",1502159,"Roy Robertson-Harris",1
"ad9b3c67-5b7f-479a-ae13-d53e13ff79cf",1502159,"Taven Bryan",1
"1ff2d56b-0d00-49e0-b722-869208b79afe",1502159,"Roy Robertson-Harris",1
"451a436d-66a8-438b-95cb-af88052e19ea",1502159,"Nevin Lawson",1
"85440d91-d0e8-4cc1-b159-fe0f74e1bf28",1502159,"Deforest Buckner",1
"c5f7ec28-eb00-480e-8c7a-f6b2b85681a5",1502159,"Johnathan Ford",1
"8579e696-e0b1-472d-9cc8-144278edb848",1502161,"Nathan Shepherd",1
"1f099738-e828-4a1a-a351-6f22407ac5aa",1502161,"Jarrad Davis",1
"8c0e0e6d-afab-43cd-bc7d-b378f9f438de",1502161,"Greg Rousseau",1
"a360609f-ac97-467e-a225-1dd0c5dc4d38",1502161,"A.J. Epenesa",1
"963d62ec-ad4a-4f4c-b4dc-155c60944434",1502162,"William Gholston",1
"76a65bef-782b-43fd-a1ce-31419ef1ca72",1502163,"Jerry Tillery",1
"0885c3ae-3b5f-415f-ad41-b7443a72dcd4",1502163,"Nick Vigil",1
"92073e9d-5b8b-4ea8-8646-1784f0ab0ad3",1502163,"Christian Covington",1
"f1bed41b-34f0-479f-af64-537af1c4e6f7",1502165,"Josh Sweat",1
"30bcd0ce-2634-49e4-956f-bb9d9db3d391",1502165,"Kyle Fuller",1
"56ade62f-3963-4334-ae5c-211b99e4021e",1502165,"Derek Barnett",1
"f0bcec66-1575-42ce-91d8-d6c02ed3d1de",1502165,"Alex Singleton",1
"d8e58c29-f8ad-4089-8784-c25f7d0b1b31",1502167,"Marcus Davenport",1
"06fab722-3669-4886-9925-720d347640f7",1502167,"Bradley Roby",1
"06222528-43ec-406a-83b7-ffcba25f21de",1502167,"Fletcher Cox",1
"d181dfc5-a12d-4250-820b-b73f8859464e",1502168,"John Franklin-Myers",1
