player_name,final_elo,role
Christian Ringo,724.9016061687454,Rusher
Pat Elflein,1146.4902282286005,Blocker
Albert Huggins,719.6392995678813,Rusher
John Miller,1101.5326763053154,Blocker
Carl Granderson,714.2776694595551,Rusher
Brady Christensen,1062.8242022225436,Blocker
Demario Davis,766.1254083901159,Rusher
Shy Tuttle,706.3342163329628,Rusher
Cameron Jordan,723.5133050459185,Rusher
David Onyemata,760.6553776974544,Rusher
Marcus Davenport,784.6208965936188,Rusher
Jalyn Holmes,697.83752451642,Rusher
Kwon Alexander,769.5684228310295,Rusher
P.J. Williams,784.3063543114855,Rusher
James Carpenter,1127.3897293608802,Blocker
Phil Haynes,1137.9343202196944,Blocker
Anthony Pittman,742.8566334058858,Rusher
Matt Nelson,1147.4661344727056,Blocker
Bruce Hector,743.0680366754748,Rusher
Parker Ehinger,1125.6181498193898,Blocker
Cody Barton,752.8905510267646,Rusher
Tyler Biadasz,1176.0813334396325,Blocker
Zack Martin,1194.695255692806,Blocker
Victor Dimukeje,736.8890935456069,Rusher
Tyron Smith,1177.4280261453323,Blocker
La'El Collins,1155.2749090269951,Blocker
Leighton Vander Esch,717.7114915742192,Rusher
Carlos Watkins,741.1432035054225,Rusher
Micah Parsons,788.2134301030104,Rusher
DeMarcus Lawrence,738.0644936007077,Rusher
Michael Dogbe,726.6213976141952,Rusher
Dorance Armstrong,735.614492575696,Rusher
Randy Gregory,761.9625483869663,Rusher
Chauncey Golston,709.9041000297203,Rusher
Osa Odighizuwa,715.0172146634807,Rusher
Trysten Hill,729.685004884588,Rusher
Tarell Basham,741.000927293881,Rusher
Neville Gallimore,744.4772992976459,Rusher
Josh Mauro,770.1884382875703,Rusher
Dennis Kelly,1120.0339328530683,Blocker
T.Y. Mcgill,734.7905006751912,Rusher
Yosh Nijman,1160.8266735187833,Blocker
Abdullah Anderson,742.5589044106741,Rusher
Tipa Galeai,723.4892433204817,Rusher
Krys Barnes,739.1444643465531,Rusher
Mike Purcell,706.4749154133689,Rusher
Brett Toth,1135.6561788246793,Blocker
Andre Dillard,1151.9519818891108,Blocker
Le'Raven Clark,1093.112377184421,Blocker
Jack Anderson,1117.2234227941346,Blocker
Kayode Awosika,1100.8397227709315,Blocker
Raequan Williams,755.9602184135609,Rusher
Terence Steele,1163.2123330075165,Blocker
Marvin Wilson,741.1645534179877,Rusher
Marlon Tuipulotu,735.3638943558375,Rusher
Attauyo Nsekhe,1127.369344077523,Blocker
Luke Gifford,752.7768818560012,Rusher
Casey Tucker,1117.7981773650786,Blocker
Matt Farniok,1123.40577054619,Blocker
Keanu Neal,738.4034166570463,Rusher
Boogie Basham,730.1955701303857,Rusher
Ryan Bates,1133.64988704688,Blocker
Folorunso Fatukasi,752.6913714043928,Rusher
Tommy Doyle,1098.8049028546288,Blocker
Greg Rousseau,741.9197392484326,Rusher
Vernon Butler,751.4704259349871,Rusher
A.J. Epenesa,733.6345032658515,Rusher
Chuma Edoga,1126.7319060420327,Blocker
Matt Milano,755.891448255116,Rusher
Josh Myers,1160.5175020720535,Blocker
David Bakhtiari,1121.7482913294293,Blocker
Ryan Mccollum,1082.7827101949485,Blocker
La'Darius Hamilton,748.706554936716,Rusher
Walker Little,1130.3459889458316,Blocker
Bobby Okereke,720.141629168318,Rusher
Eric Fisher,1125.6691361094202,Blocker
Jordan Smith,743.4568420498189,Rusher
Zaire Franklin,745.3715713540586,Rusher
E.J. Speed,743.5462906078737,Rusher
Kyler Fackrell,753.4126335935858,Rusher
Lester Cotton Sr.,1126.6525439234833,Blocker
D.J. Reader,740.352795613323,Rusher
Mike Daniels,753.1414338914353,Rusher
B.J. Hill,764.490755413179,Rusher
Cam Sample,707.7131078053649,Rusher
Hakeem Adeniji,1095.8788910221447,Blocker
Trey Hopkins,1171.0100518335862,Blocker
Jonah Williams,1155.9654225286395,Blocker
Quinton Spain,1144.4540816086744,Blocker
Khalid Kareem,719.9861450035763,Rusher
Sam Hubbard,716.9576294043347,Rusher
Isaiah Prince,1144.0417271277452,Blocker
Larry Ogunjobi,731.3214330708096,Rusher
Trey Hendrickson,783.2357576902407,Rusher
Logan Wilson,720.5090745644482,Rusher
