class,term,coef
loss,rusher::Joshua Kaindoh,-0.16253652839349564
loss,rusher::Josiah Bronson,0.1750857954765498
loss,rusher::Julian Okwara,0.06650027103805041
loss,rusher::Julian Stanford,-0.07024551384801903
loss,rusher::Justin Ellis,0.26006430024321814
loss,rusher::Justin Hamilton,0.0939626431280055
loss,rusher::Justin Hollins,-0.10822585447173963
loss,rusher::Justin Houston,-0.09400764539502796
loss,rusher::Justin Jones,0.16418999615567373
loss,rusher::Justin Lawler,-0.010224733460081513
loss,rusher::Justin Madubuike,0.02143125281917484
loss,rusher::Justin Strnad,0.05528129163496477
loss,rusher::Justin Zimmer,0.0139387220652279
loss,rusher::K.J. Wright,0.0639203317363105
loss,rusher::K'Lavon Chaisson,0.07906751805408967
loss,rusher::Kaden Elliss,0.1736289934486592
loss,rusher::Kahlil Mckenzie,0.09587671511896555
loss,rusher::Kamal Martin,0.04302629598127114
loss,rusher::Kamu Grugier-Hill,-0.1654847551208546
loss,rusher::Keandre Jones,0.03663364532488582
loss,rusher::Keanu Neal,0.35834493597661304
loss,rusher::Kemoko Turay,-0.042297560642932955
loss,rusher::Kendal Vickers,0.06513295876562228
loss,rusher::Kenneth Murray Jr.,-0.07362035733600136
loss,rusher::Kenny Clark,-0.11549508767938246
loss,rusher::Kenny Willekes,0.13653718305885867
loss,rusher::Kenny Young,0.06887921619134063
loss,rusher::Kentavius Street,0.04007261629436697
loss,rusher::Kerry Hyder Jr.,0.16790848662960456
loss,rusher::Kevin Givens,-0.005959697058279983
loss,rusher::Kevin Minter,-0.030993695252688292
loss,rusher::Kevin Pierre-Louis,0.027537359507581904
loss,rusher::Kevin Strong,0.07505664639058304
loss,rusher::Khaleke Hudson,-0.07164920527435335
loss,rusher::Khalen Saunders,0.10146587447995013
loss,rusher::Khalid Kareem,0.29156152696991916
loss,rusher::Khalil Davis,0.029570259142051646
loss,rusher::Khalil Mack,-0.41284494237003155
loss,rusher::Khyiris Tonga,-0.0395747058862425
loss,rusher::Kingsley Keke,0.10698653816033923
